id,text,category
0,"The world's most innovative companies are obsessive about Moonshots.  $GOOGL, $TSLA, &amp; $AMZN aren't concerned w/ quarterly results. They're taking swings for the fences to redefine entire industries.  On today's show, I'll be discussing 3 Moonshots investors should be watching.",bullish
1,Just a bunch of degenerates dunking on $TSLA,bearish
2,"$TSLA - absolutely.  This fraud is not only getting bigger, but more brazen.   There are no regulators such as the  or  who do their jobs anymore.  Fraud is winning.  $SPY $TSLAQ",bearish
3,"If Elon is headed to #Shanghai for groundbreaking, then #Tesla is tracking 3 months ahead of my Gigafactory 3 timeline.  $TSLA #NotSellingAShareBefore2500",bullish
4,BREAKING: Tesla researchers publish work on hybrid battery enabling all-electric car range extender. $TSLA,bullish
5,2 images of Tesla ($TSLA) crashes.,bearish
6,For those that were wondering about that dip from $2295 to $2159 in $TSLA... that’s what a buying opportunity looks like.,bullish
7,For the same reason Musk downplays Covid &amp; ignored the law is the same reason $tsla must manufacture atrociously built Model Ys.  He’s simply committed already.,bearish
8,"As of 5 minutes ago, Tesla and Ford are the only two American automotive companies to have not declared bankruptcy. $TSLA however is the only American car maker to have operated via a Perpetual Rolling Bankruptcy, stakeholders be damned. It's all about protecting the levered One.",bearish
9,"""He has turned over the car's thumb drive to police. They are now trying to recover footage from the moment of collision.  ""Right at the time of the accident, the data was corrupt,"" Kim said.""    $TSLA #dashcam 122/",bearish
10,Daily Wrap  Alerts/Ideas $TSLA 525c +700%💰 $AMZN 3150&gt;3190💰 $SHOP 1k&gt;1019💰 $FSR 15.90&gt;21/95💚💰 $WYY 12&gt;11.50 L🔻 $LMND 69/70&gt;73 💚 Other $PGNY 31.50&gt;35💸 $SQ 200&gt;212💸 $PYPL 195.50&gt;214💸 $VSTM 1.40&gt;1.82💸 $CMBM $VOXX$LMB 💚 $APPN 63&gt;174💚 $BCYI $SCYX New 💪  *All Timestamped,bullish
11,Agreed Ross. Take for example $TSLA at 300 was way overpriced and what an incredible opportunity it's been.  Cheers,bullish
12,$TSLA - Model 3’s are actually NOT appreciating in value.  Perplexing.   $TSLAQ,bearish
13,"EV-Sales ests show $TSLA M3 may not be dazzling China: 3,000 M3 deliveries for Apr, down 20% vs 3,738 in Mar when deliveries started. MS+MX sales didn't even register on the scale.   EV also slashed prev Mar est of 5,300 M3--major reduction in est demand.",bearish
14,"I didn’t sell a single share of my $TSLA at the low last year also thru out all these years, there’s no reason for me to sell any right now &amp; the near future.",bullish
15,"“Three Tesla workers say they’ve been fired from their jobs after opting to stay home from the Fremont, Calif. factory rather than risk being potentially exposed to covid-19.”  This story is why Dr. Musk has been tweeting more COVID nonsense  $TSLA $ElonQ",bearish
16,"shared a great insight re: $TSLA and I think it applies to many of the stocks that the traditional valuation experts miss (like $PTON): Once you buy and use the product(s)/services, you begin to understand why young investors are anchored to the stock.",bullish
17,"""The results appear to show both cars somehow averaged an estimated 70 MPGe, despite the Tesla supposedly having a combined efficiency rating of 104 MPGe, according to the EPA.""  😢 $TSLA $TSLAQ Car And Driver Test Results",bearish
18,A sell-off in Big Tech leads to a 5% fall in the Nasdaq. Names like $FB $GOOG $AMZN $MSFT $AAPL $SPOT $UBER $TWTR $TSLA $NFLX all down big.,bearish
19,Here's why  thinks Tesla $TSLA CEO  can produce more ventilators than Ford $F:,bullish
20,"Phil, i have disagreed with some things you have fawned over on Elon, but you asked a tough Q and he bullied you to shut down.   Use this as i did with battery swap crap, wake up and see Elon for what he really is, a lying bully. $TSLA $TSLAQ",bearish
21,"$TSLA And cost longs a ton in opportunity cost. It's OK to believe, to have conviction, to invest with that conviction. It's not OK to miss out on *all* other opportunity.  ppl are getting rich, this is real, don't bet on one stock.",bearish
22,$GS upgrades $TSLA after a monster run a week before earnings? Seems legit..,bullish
23,This is turning into a bigger fraud than I ever imagined $TSLA,bearish
